type,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,avg_pace_sec,max_pace,max_pace_sec,avg_hr,max_hr,%_easy,mt_min_easy,mt_min_hard
Run,2026-08-24T05:35:09Z,3.57,00:41:45,00:43:13,433.07,11:41,701,08:10,490,125.2,141,100.0,41.8,0.0
Run,2026-08-26T08:15:03Z,3.81,00:41:58,00:45:20,469.16,11:00,660,06:21,381,137.1,166,73.7,29.9,10.7
Run,2026-08-27T05:54:13Z,2.5,00:26:15,00:26:21,55.77,10:29,629,07:01,421,124.8,137,100.0,26.1,0.0
Run,2026-08-28T05:16:15Z,8.0,01:29:07,01:29:55,997.38,11:08,668,07:12,432,134.2,150,80.0,71.2,17.8
Hike,2026-08-30T09:49:15Z,7.36,02:40:20,03:02:17,416.67,21:46,1306,11:52,712,,,,,
