activity_id,name,type,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,avg_pace_sec,max_pace,max_pace_sec
10348011414,Morning Ride,Ride,2023-12-08T13:11:20Z,7.26,00:35:09,00:35:09,156.5,,,,
10313269995,Afternoon Ride,Ride,2023-12-01T22:11:12Z,7.4,00:37:01,00:37:01,190.29,,,,
10311466517,Morning Ride,Ride,2023-12-01T13:46:54Z,7.11,00:35:00,00:35:00,157.48,,,,
10234280719,Morning Ride,Ride,2023-11-17T14:03:37Z,7.16,00:32:40,00:32:40,157.81,,,,
10195914942,Afternoon Ride,Ride,2023-11-10T21:11:01Z,8.15,00:43:00,00:43:00,205.71,,,,
10194018975,Morning Ride,Ride,2023-11-10T13:33:06Z,7.15,00:35:30,00:35:30,157.48,,,,
10074465934,Worst bluebike ever,Ride,2023-10-20T21:25:39Z,7.15,00:51:28,00:51:28,233.6,,,,
10072307515,Morning Ride,Ride,2023-10-20T12:35:05Z,7.0,00:42:44,00:42:44,145.01,,,,
9816915185,Tour de Open house,Ride,2023-09-09T14:00:11Z,22.34,01:49:58,01:49:58,477.69,,,,
9774697398,Hotel reclining bike,Ride,2023-09-03T11:23:18Z,0.0,00:29:51,00:29:51,0.0,,,,
9528117494,Evening Ride,Ride,2023-07-26T22:22:13Z,3.72,00:22:23,00:22:23,76.12,,,,
9496335323,Blue bike to fenway,Ride,2023-07-21T22:11:00Z,3.73,00:23:30,00:23:30,75.79,,,,
9496125767,Afternoon Ride,Ride,2023-07-21T20:58:28Z,6.02,00:30:24,00:30:24,60.37,,,,
9493493064,Morning Ride,Ride,2023-07-21T11:58:57Z,5.95,00:28:49,00:28:49,38.39,,,,
9307718234,Morning Ride,Ride,2023-06-21T13:48:04Z,6.0,00:31:46,00:31:46,37.73,,,,
9273718314,From ladies dinner,Ride,2023-06-16T00:09:38Z,4.87,00:25:30,00:25:30,57.09,,,,
9273213989,To ladies dinner,Ride,2023-06-15T21:33:37Z,4.93,00:28:09,00:28:09,36.42,,,,
9229135482,Afternoon Ride,Ride,2023-06-08T20:17:01Z,7.58,00:44:24,00:44:24,235.56,,,,
9225956233,Morning Ride,Ride,2023-06-08T11:55:26Z,6.01,00:29:26,00:29:26,37.73,,,,
