gear_id,name,type,mileage,status
g33031373,Hoka Mach 7,Speed,12.0,active
g33031356,Nike Pegasus 42,Road,63.0,active
g33031350,Nike Pegasus Trail 5,Trail,189.0,active
g33031360,Nike ZoomX,Race,50.0,active
