type,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,avg_pace_sec,max_pace,max_pace_sec,avg_hr,max_hr,%_easy,mt_min_easy,mt_min_hard
Run,2026-09-14T06:20:36Z,4.01,00:42:12,00:42:12,557.74,10:32,632,07:17,437,132.0,146,95.7,40.4,1.8
Run,2026-09-16T05:50:27Z,3.79,00:41:29,00:48:13,446.19,10:56,656,05:57,357,134.7,167,76.5,30.8,9.5
Run,2026-09-17T06:18:19Z,3.0,00:27:50,00:27:50,45.93,09:16,556.0,05:14,314.0,134.0,162.0,91.3,25.4,2.4
Run,2026-09-18T06:40:54Z,1.05,00:12:34,00:20:14,236.22,12:00,720,09:03,543,125.0,145,96.6,12.0,0.4
Run,2026-09-19T06:02:46Z,10.0,01:52:07,02:01:12,1164.7,11:12,672,08:10,490,135.3,155,82.3,90.9,19.6
Hike,2026-09-20T08:48:27Z,8.05,03:10:02,03:46:24,1187.66,23:36,1416,11:05,665,,,,,
