activity_id,name,type,gear_id,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,avg_pace_sec,max_pace,max_pace_sec,start_lat,start_lng
19012982388,Escaping the city heat,Hike,,2026-06-21T09:35:53Z,10.53,04:35:50,05:38:27,2508.53,26:11,1571.0,06:23,383.0,37.093344,-3.388505
18957793682,Hoya de la Mora <-> Veleta,Hike,,2026-06-17T09:19:02Z,9.6,03:43:43,04:04:43,2914.04,23:18,1398.0,06:54,414.0,37.094051,-3.386629
18902061991,Forgot to record the up,Hike,,2026-06-13T09:44:48Z,4.13,01:21:48,01:45:43,180.45,19:49,1189.0,08:04,484.0,37.177107,-3.56196
18821577865,Morning Hike,Hike,,2026-06-07T07:48:47Z,7.13,02:19:41,02:46:24,1017.39,19:35,1175.0,06:58,418.0,37.174347,-3.592203
18741083856,Lunch Hike,Hike,,2026-06-01T09:12:22Z,4.13,01:40:21,02:39:18,929.46,24:19,1459.0,07:37,457.0,42.515531,3.135553
18690772312,Ruta del Cares ida y vuelta,Hike,,2026-05-28T05:46:47Z,15.46,05:10:57,06:41:06,4746.72,20:06,1206.0,03:39,219.0,43.258113,-4.830259
18674672678,Ermita de San Martín,Hike,,2026-05-27T08:54:25Z,3.21,01:07:52,01:25:41,283.14,21:10,1270.0,10:05,605.0,43.428693,-4.805455
18665811881,Lagos de Covadonga,Hike,,2026-05-26T12:32:09Z,2.76,01:04:50,01:26:09,556.76,23:31,1411.0,10:28,628.0,43.27607,-4.98623
18648008646,Pico Gilbo,Hike,,2026-05-25T07:14:24Z,9.68,03:48:27,05:33:57,2449.15,23:36,1416.0,09:11,551.0,42.976722,-4.998922
18554547121,Lunch Hike,Hike,,2026-05-18T09:07:08Z,7.3,03:00:50,03:39:46,1082.02,24:46,1486.0,08:44,524.0,37.174056,-3.593581
18454020645,Lunch Hike,Hike,,2026-05-10T09:27:44Z,11.44,03:48:19,04:06:27,2436.68,19:57,1197.0,09:37,577.0,36.986635,-3.524653
18438073970,Lunch Hike,Hike,,2026-05-09T09:22:51Z,7.65,02:45:39,03:15:06,1075.46,21:39,1299.0,03:38,218.0,37.174523,-3.593602
18357401118,Morning Hike,Hike,,2026-05-03T08:33:43Z,4.31,01:43:47,02:06:06,725.72,24:04,1444.0,09:30,570.0,37.174571,-3.593672
18318986765,Promised Brisket a last snow sesh,Hike,,2026-04-30T09:53:07Z,7.02,02:44:45,03:18:23,1889.76,23:29,1409.0,10:20,620.0,37.1105,-3.404263
18291301599,Hot pups = lots of stops,Hike,,2026-04-28T09:22:38Z,5.11,02:04:43,02:50:10,991.47,24:24,1464.0,10:01,601.0,37.174299,-3.593505
18265678530,Short walk around Pinos Genil,Hike,,2026-04-26T09:13:08Z,2.66,00:59:30,01:05:22,174.21,22:22,1342.0,10:05,605.0,37.162947,-3.512113
18172269354,Le retour,Hike,,2026-04-19T12:44:56Z,1.3,00:33:20,00:33:20,21.98,25:35,1535.0,10:33,633.0,43.72836,7.362278
18170054450,Unintended post half hike,Hike,,2026-04-19T10:09:55Z,1.42,00:44:26,00:45:28,1249.34,31:20,1880.0,10:05,605.0,43.722614,7.357074
17887855156,Sick but the dogs needed it,Hike,,2026-03-28T09:32:06Z,6.72,02:40:31,03:06:56,1003.28,23:53,1433.0,09:50,590.0,37.174306,-3.593491
17816540607,Morning Hike,Hike,,2026-03-22T09:59:24Z,8.43,03:15:47,03:49:40,1481.63,23:13,1393.0,09:45,585.0,37.174379,-3.593655
17802920953,Morning Hike,Hike,,2026-03-21T09:49:24Z,6.11,02:36:13,02:51:57,1028.22,25:34,1534.0,09:30,570.0,37.174247,-3.593565
